"scenario","predictor","Block","BlockRho","True","FG","Model","Estimate","Bias","nobs","run_number"
"scenarioA","X_1","strong",0.6,0.4,0.530949878466045,"SSL",0.433657874369884,0.0336578743698844,200,1
"scenarioA","X_2","strong",0.6,-0.5,-0.602024794875323,"SSL",-0.41598795996763,0.0840120400323704,200,1
"scenarioA","X_3","weak",0.3,0.6,0.891637980686904,"SSL",0.996312778995873,0.396312778995873,200,1
"scenarioA","X_4","weak",0.3,0.75,0.788427318875682,"SSL",0.814958538594762,0.0649585385947616,200,1
"scenarioA","X_5","indep",0,-0.8,-0.891644163343839,"SSL",-0.868145091395535,-0.0681450913955347,200,1
"scenarioA","X_6","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_7","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_8","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_9","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_10","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_11","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_12","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_13","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_14","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_15","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_16","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_17","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_18","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_19","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_20","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_21","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_22","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_23","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_24","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_25","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_26","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_27","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_28","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_29","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_30","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_31","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_32","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_33","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_34","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_35","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_36","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_37","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_38","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_39","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_40","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_41","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_42","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_43","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_44","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_45","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_46","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_47","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_48","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_49","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_50","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_51","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_52","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_53","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_54","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_55","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_56","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_57","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_58","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_59","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_60","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_61","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_62","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_63","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_64","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_65","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_66","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_67","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_68","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_69","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_70","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_71","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_72","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_73","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_74","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_75","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_76","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_77","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_78","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_79","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_80","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_81","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_82","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_83","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_84","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_85","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_86","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_87","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_88","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_89","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_90","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_91","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_92","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_93","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_94","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_95","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_96","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_97","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_98","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_99","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_100","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_101","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_102","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_103","indep",0,0,NA,"SSL",-0.244962206401012,-0.244962206401012,200,1
"scenarioA","X_104","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_105","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_106","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_107","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_108","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_109","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_110","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_111","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_112","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_113","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_114","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_115","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_116","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_117","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_118","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_119","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_120","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_121","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_122","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_123","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_124","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_125","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_126","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_127","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_128","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_129","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_130","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_131","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_132","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_133","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_134","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_135","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_136","indep",0,0,NA,"SSL",0.319802172827916,0.319802172827916,200,1
"scenarioA","X_137","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_138","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_139","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_140","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_141","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_142","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_143","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_144","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_145","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_146","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_147","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_148","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_149","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_150","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_151","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_152","indep",0,0,NA,"SSL",-0.250992870975169,-0.250992870975169,200,1
"scenarioA","X_153","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_154","indep",0,0,NA,"SSL",0,0,200,1
"scenarioA","X_155","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_156","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_157","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_158","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_159","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_160","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_161","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_162","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_163","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_164","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_165","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_166","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_167","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_168","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_169","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_170","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_171","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_172","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_173","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_174","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_175","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_176","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_177","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_178","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_179","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_180","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_181","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_182","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_183","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_184","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_185","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_186","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_187","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_188","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioA","X_189","weak",0.3,0,NA,"SSL",0,0,200,1
