"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioA","p300_scenarioA_run1",200,300,1,"SSL",0.0134185119393989,0.2,NA,NA,TRUE,5,5,4,291,0,1,3,146,0,2,0,73,0,2,1,72,0
"scenarioA","p300_scenarioA_run1",200,300,1,"LASSO",NA,NA,0.115370898389348,NA,TRUE,NA,3,1,294,2,1,1,148,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run2",200,300,2,"SSL",0.00180755455744553,0.2,NA,NA,TRUE,5,5,26,269,0,1,17,132,0,2,2,71,0,2,7,66,0
"scenarioA","p300_scenarioA_run2",200,300,2,"LASSO",NA,NA,0.145497786661678,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioA","p300_scenarioA_run3",200,300,3,"SSL",0.000351769096686398,0.2,NA,NA,TRUE,5,4,6,289,1,1,3,146,0,1,0,73,1,2,3,70,0
"scenarioA","p300_scenarioA_run3",200,300,3,"LASSO",NA,NA,0.123252508746607,NA,TRUE,NA,4,2,293,1,1,0,149,0,1,0,73,1,2,2,71,0
"scenarioA","p300_scenarioA_run4",200,300,4,"SSL",0.00604916060542891,0.2,NA,NA,TRUE,5,3,3,292,2,1,1,148,0,0,0,73,2,2,2,71,0
"scenarioA","p300_scenarioA_run4",200,300,4,"LASSO",NA,NA,0.143889480862817,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioA","p300_scenarioA_run5",200,300,5,"SSL",0.00731621422050135,0.2,NA,NA,TRUE,5,5,35,260,0,1,24,125,0,2,3,70,0,2,8,65,0
"scenarioA","p300_scenarioA_run5",200,300,5,"LASSO",NA,NA,0.108938298678876,NA,TRUE,NA,3,4,291,2,1,1,148,0,0,0,73,2,2,3,70,0
"scenarioA","p300_scenarioA_run6",200,300,6,"SSL",0.0128918095392818,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run6",200,300,6,"LASSO",NA,NA,0.105002400817144,NA,TRUE,NA,3,3,292,2,1,0,149,0,0,0,73,2,2,3,70,0
"scenarioA","p300_scenarioA_run7",200,300,7,"SSL",0.00713417592592017,0.2,NA,NA,TRUE,5,5,9,286,0,1,6,143,0,2,1,72,0,2,2,71,0
"scenarioA","p300_scenarioA_run7",200,300,7,"LASSO",NA,NA,0.142384030448084,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioA","p300_scenarioA_run8",200,300,8,"SSL",0.0128918095392818,0.2,NA,NA,TRUE,5,3,3,292,2,1,3,146,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run8",200,300,8,"LASSO",NA,NA,0.138836300560101,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioA","p300_scenarioA_run9",200,300,9,"SSL",0.00713417592592017,0.2,NA,NA,TRUE,5,4,1,294,1,1,0,149,0,1,0,73,1,2,1,72,0
"scenarioA","p300_scenarioA_run9",200,300,9,"LASSO",NA,NA,0.113094474157583,NA,TRUE,NA,4,1,294,1,1,0,149,0,1,0,73,1,2,1,72,0
"scenarioA","p300_scenarioA_run10",200,300,10,"SSL",0.0117465521141714,0.2,NA,NA,TRUE,5,3,1,294,2,1,1,148,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run10",200,300,10,"LASSO",NA,NA,0.102261795992986,NA,TRUE,NA,4,6,289,1,1,2,147,0,1,0,73,1,2,4,69,0
"scenarioA","p300_scenarioA_run11",200,300,11,"SSL",0.0090644029211664,0.2,NA,NA,TRUE,6,5,32,263,0,1,16,133,0,2,7,66,0,2,9,64,0
"scenarioA","p300_scenarioA_run11",200,300,11,"LASSO",NA,NA,0.109473599222717,NA,TRUE,NA,3,3,292,2,1,1,148,0,0,0,73,2,2,2,71,0
"scenarioA","p300_scenarioA_run12",200,300,12,"SSL",0.013170899991357,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run12",200,300,12,"LASSO",NA,NA,0.154197273418943,NA,TRUE,NA,3,3,292,2,1,0,149,0,0,0,73,2,2,3,70,0
"scenarioA","p300_scenarioA_run13",200,300,13,"SSL",0.013170899991357,0.2,NA,NA,TRUE,5,3,2,293,2,1,1,148,0,0,0,73,2,2,1,72,0
"scenarioA","p300_scenarioA_run13",200,300,13,"LASSO",NA,NA,0.131068652582184,NA,TRUE,NA,3,3,292,2,1,0,149,0,0,0,73,2,2,3,70,0
"scenarioA","p300_scenarioA_run14",200,300,14,"SSL",0.00889785635980016,0.2,NA,NA,TRUE,5,3,1,294,2,1,0,149,0,0,1,72,2,2,0,73,0
"scenarioA","p300_scenarioA_run14",200,300,14,"LASSO",NA,NA,0.125314851694975,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,1,72,2,2,0,73,0
"scenarioA","p300_scenarioA_run15",200,300,15,"SSL",0.0114979107095867,0.2,NA,NA,TRUE,5,4,7,288,1,1,5,144,0,1,1,72,1,2,1,72,0
"scenarioA","p300_scenarioA_run15",200,300,15,"LASSO",NA,NA,0.127843123402466,NA,TRUE,NA,4,1,294,1,1,0,149,0,1,0,73,1,2,1,72,0
"scenarioA","p300_scenarioA_run16",200,300,16,"SSL",0.00731621422050135,0.2,NA,NA,TRUE,5,4,8,287,1,1,6,143,0,1,0,73,1,2,2,71,0
"scenarioA","p300_scenarioA_run16",200,300,16,"LASSO",NA,NA,0.126362428647646,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioA","p300_scenarioA_run17",200,300,17,"SSL",0.0117465521141714,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run17",200,300,17,"LASSO",NA,NA,0.14814957379799,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioA","p300_scenarioA_run18",200,300,18,"SSL",0.00320046485105765,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run18",200,300,18,"LASSO",NA,NA,0.130162152286582,NA,TRUE,NA,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioA","p300_scenarioA_run19",200,300,19,"SSL",0.0084928557226126,0.2,NA,NA,TRUE,5,3,1,294,2,1,1,148,0,0,0,73,2,2,0,73,0
