"scenario","predictor","Block","BlockRho","True","FG","Model","Estimate","Bias","nobs","run_number"
"scenarioB","X_1","strong",0.6,0.4,0.292611227482313,"SSL",0.133526655889657,-0.266473344110343,200,1
"scenarioB","X_2","strong",0.6,-0.5,-0.311175852066996,"SSL",-0.17898454260903,0.32101545739097,200,1
"scenarioB","X_3","weak",0.3,0.6,0.685876187987148,"SSL",0.637300660722285,0.0373006607222849,200,1
"scenarioB","X_4","weak",0.3,0.75,0.823115062963733,"SSL",0.76519671308924,0.0151967130892403,200,1
"scenarioB","X_5","indep",0,-0.8,-0.821366034154461,"SSL",-0.71442519936224,0.0855748006377601,200,1
"scenarioB","X_6","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_7","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_8","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_9","indep",0,0,NA,"SSL",-0.148582156579093,-0.148582156579093,200,1
"scenarioB","X_10","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_11","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_12","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_13","indep",0,0,NA,"SSL",0.223438357193044,0.223438357193044,200,1
"scenarioB","X_14","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_15","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_16","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_17","indep",0,0,NA,"SSL",0,0,200,1
"scenarioB","X_18","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioB","X_19","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioB","X_20","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioB","X_21","weak",0.3,0,NA,"SSL",0,0,200,1
"scenarioB","X_22","strong",0.6,0,NA,"SSL",0,0,200,1
"scenarioB","X_23","strong",0.6,0,NA,"SSL",0,0,200,1
"scenarioB","X_24","strong",0.6,0,NA,"SSL",0,0,200,1
"scenarioB","X_25","strong",0.6,0,NA,"SSL",0,0,200,1
"scenarioB","X_1","strong",0.6,0.4,0.292611227482313,"LASSO",0,-0.4,200,1
"scenarioB","X_2","strong",0.6,-0.5,-0.311175852066996,"LASSO",-0.0383795675371878,0.461620432462812,200,1
"scenarioB","X_3","weak",0.3,0.6,0.685876187987148,"LASSO",0.53367322465814,-0.0663267753418602,200,1
"scenarioB","X_4","weak",0.3,0.75,0.823115062963733,"LASSO",0.601447745733271,-0.148552254266729,200,1
"scenarioB","X_5","indep",0,-0.8,-0.821366034154461,"LASSO",-0.548498611519625,0.251501388480375,200,1
"scenarioB","X_6","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_7","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_8","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_9","indep",0,0,NA,"LASSO",-0.0672191767649735,-0.0672191767649735,200,1
"scenarioB","X_10","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_11","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_12","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_13","indep",0,0,NA,"LASSO",0.133465056820168,0.133465056820168,200,1
"scenarioB","X_14","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_15","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_16","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_17","indep",0,0,NA,"LASSO",0,0,200,1
"scenarioB","X_18","weak",0.3,0,NA,"LASSO",0,0,200,1
"scenarioB","X_19","weak",0.3,0,NA,"LASSO",0,0,200,1
"scenarioB","X_20","weak",0.3,0,NA,"LASSO",0,0,200,1
"scenarioB","X_21","weak",0.3,0,NA,"LASSO",0,0,200,1
"scenarioB","X_22","strong",0.6,0,NA,"LASSO",0,0,200,1
"scenarioB","X_23","strong",0.6,0,NA,"LASSO",0,0,200,1
"scenarioB","X_24","strong",0.6,0,NA,"LASSO",0,0,200,1
"scenarioB","X_25","strong",0.6,0,NA,"LASSO",0,0,200,1
"scenarioB","X_1","strong",0.6,0.4,0.459600742622239,"SSL",0.706171023806901,0.306171023806901,200,2
"scenarioB","X_2","strong",0.6,-0.5,-0.466113541778014,"SSL",-0.236524220389623,0.263475779610377,200,2
"scenarioB","X_3","weak",0.3,0.6,0.527504687568474,"SSL",0.416295113072491,-0.183704886927509,200,2
"scenarioB","X_4","weak",0.3,0.75,0.702414567101628,"SSL",0.758026994771543,0.00802699477154289,200,2
"scenarioB","X_5","indep",0,-0.8,-0.89321166752246,"SSL",-1.04457684195749,-0.244576841957486,200,2
"scenarioB","X_6","indep",0,0,NA,"SSL",0.0989138559169006,0.0989138559169006,200,2
"scenarioB","X_7","indep",0,0,NA,"SSL",-0.0437903991621818,-0.0437903991621818,200,2
"scenarioB","X_8","indep",0,0,NA,"SSL",-0.0653996321126276,-0.0653996321126276,200,2
"scenarioB","X_9","indep",0,0,NA,"SSL",0.1155633549086,0.1155633549086,200,2
"scenarioB","X_10","indep",0,0,NA,"SSL",0.0316535161129619,0.0316535161129619,200,2
"scenarioB","X_11","indep",0,0,NA,"SSL",-0.0328829219899958,-0.0328829219899958,200,2
"scenarioB","X_12","indep",0,0,NA,"SSL",0.0669314706711965,0.0669314706711965,200,2
"scenarioB","X_13","indep",0,0,NA,"SSL",0.0760071442555923,0.0760071442555923,200,2
"scenarioB","X_14","indep",0,0,NA,"SSL",0,0,200,2
"scenarioB","X_15","indep",0,0,NA,"SSL",0.0407809020316052,0.0407809020316052,200,2
"scenarioB","X_16","indep",0,0,NA,"SSL",0.0282529589852808,0.0282529589852808,200,2
"scenarioB","X_17","indep",0,0,NA,"SSL",0.0954603737340078,0.0954603737340078,200,2
"scenarioB","X_18","weak",0.3,0,NA,"SSL",0.125790617614066,0.125790617614066,200,2
"scenarioB","X_19","weak",0.3,0,NA,"SSL",0,0,200,2
"scenarioB","X_20","weak",0.3,0,NA,"SSL",0.213002316201302,0.213002316201302,200,2
"scenarioB","X_21","weak",0.3,0,NA,"SSL",-0.0982946701926142,-0.0982946701926142,200,2
"scenarioB","X_22","strong",0.6,0,NA,"SSL",0,0,200,2
"scenarioB","X_23","strong",0.6,0,NA,"SSL",0,0,200,2
"scenarioB","X_24","strong",0.6,0,NA,"SSL",-0.40453329781324,-0.40453329781324,200,2
"scenarioB","X_25","strong",0.6,0,NA,"SSL",-0.312264889767588,-0.312264889767588,200,2
"scenarioB","X_1","strong",0.6,0.4,0.459600742622239,"LASSO",0.313409145439447,-0.0865908545605533,200,2
"scenarioB","X_2","strong",0.6,-0.5,-0.466113541778014,"LASSO",-0.0882289181585433,0.411771081841457,200,2
"scenarioB","X_3","weak",0.3,0.6,0.527504687568474,"LASSO",0.32881609784255,-0.27118390215745,200,2
"scenarioB","X_4","weak",0.3,0.75,0.702414567101628,"LASSO",0.552927590367156,-0.197072409632844,200,2
"scenarioB","X_5","indep",0,-0.8,-0.89321166752246,"LASSO",-0.768511303632056,0.0314886963679445,200,2
"scenarioB","X_6","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_7","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_8","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_9","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_10","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_11","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_12","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_13","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_14","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_15","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_16","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_17","indep",0,0,NA,"LASSO",0,0,200,2
"scenarioB","X_18","weak",0.3,0,NA,"LASSO",0.0384618988366077,0.0384618988366077,200,2
"scenarioB","X_19","weak",0.3,0,NA,"LASSO",0,0,200,2
"scenarioB","X_20","weak",0.3,0,NA,"LASSO",0.0713089270137719,0.0713089270137719,200,2
"scenarioB","X_21","weak",0.3,0,NA,"LASSO",0,0,200,2
"scenarioB","X_22","strong",0.6,0,NA,"LASSO",0,0,200,2
"scenarioB","X_23","strong",0.6,0,NA,"LASSO",0,0,200,2
"scenarioB","X_24","strong",0.6,0,NA,"LASSO",-0.267211630556484,-0.267211630556484,200,2
"scenarioB","X_25","strong",0.6,0,NA,"LASSO",-0.169994374075306,-0.169994374075306,200,2
"scenarioB","X_1","strong",0.6,0.4,0.235829013538338,"SSL",0,-0.4,200,3
"scenarioB","X_2","strong",0.6,-0.5,-0.353743456223991,"SSL",0,0.5,200,3
"scenarioB","X_3","weak",0.3,0.6,0.66075641743176,"SSL",0.561904539752508,-0.0380954602474924,200,3
"scenarioB","X_4","weak",0.3,0.75,0.682232149266455,"SSL",0.634706121474268,-0.115293878525732,200,3
"scenarioB","X_5","indep",0,-0.8,-0.857816385873412,"SSL",-0.717629304389208,0.082370695610792,200,3
"scenarioB","X_6","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_7","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_8","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_9","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_10","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_11","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_12","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_13","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_14","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_15","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_16","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_17","indep",0,0,NA,"SSL",0,0,200,3
"scenarioB","X_18","weak",0.3,0,NA,"SSL",0,0,200,3
"scenarioB","X_19","weak",0.3,0,NA,"SSL",0,0,200,3
"scenarioB","X_20","weak",0.3,0,NA,"SSL",0,0,200,3
"scenarioB","X_21","weak",0.3,0,NA,"SSL",0,0,200,3
"scenarioB","X_22","strong",0.6,0,NA,"SSL",0,0,200,3
"scenarioB","X_23","strong",0.6,0,NA,"SSL",0,0,200,3
"scenarioB","X_24","strong",0.6,0,NA,"SSL",0,0,200,3
"scenarioB","X_25","strong",0.6,0,NA,"SSL",0,0,200,3
"scenarioB","X_1","strong",0.6,0.4,0.235829013538338,"LASSO",0,-0.4,200,3
"scenarioB","X_2","strong",0.6,-0.5,-0.353743456223991,"LASSO",-0.0783044705825602,0.42169552941744,200,3
"scenarioB","X_3","weak",0.3,0.6,0.66075641743176,"LASSO",0.449059806370298,-0.150940193629702,200,3
"scenarioB","X_4","weak",0.3,0.75,0.682232149266455,"LASSO",0.535447734032002,-0.214552265967998,200,3
"scenarioB","X_5","indep",0,-0.8,-0.857816385873412,"LASSO",-0.616555874744595,0.183444125255405,200,3
"scenarioB","X_6","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_7","indep",0,0,NA,"LASSO",0.0557043503646427,0.0557043503646427,200,3
"scenarioB","X_8","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_9","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_10","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_11","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_12","indep",0,0,NA,"LASSO",-0.0758699536584314,-0.0758699536584314,200,3
"scenarioB","X_13","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_14","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_15","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_16","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_17","indep",0,0,NA,"LASSO",0,0,200,3
"scenarioB","X_18","weak",0.3,0,NA,"LASSO",0,0,200,3
"scenarioB","X_19","weak",0.3,0,NA,"LASSO",0,0,200,3
"scenarioB","X_20","weak",0.3,0,NA,"LASSO",0,0,200,3
"scenarioB","X_21","weak",0.3,0,NA,"LASSO",0,0,200,3
"scenarioB","X_22","strong",0.6,0,NA,"LASSO",0,0,200,3
"scenarioB","X_23","strong",0.6,0,NA,"LASSO",0,0,200,3
"scenarioB","X_24","strong",0.6,0,NA,"LASSO",0,0,200,3
"scenarioB","X_25","strong",0.6,0,NA,"LASSO",-0.0258593985610297,-0.0258593985610297,200,3
"scenarioB","X_1","strong",0.6,0.4,0.426499282046497,"SSL",0.669949911857175,0.269949911857175,200,4
"scenarioB","X_2","strong",0.6,-0.5,-0.412209069166957,"SSL",-0.385233489256882,0.114766510743118,200,4
"scenarioB","X_3","weak",0.3,0.6,0.548737619946414,"SSL",0.561939483969602,-0.0380605160303984,200,4
"scenarioB","X_4","weak",0.3,0.75,0.640650673642217,"SSL",0.674448425259522,-0.0755515747404785,200,4
"scenarioB","X_5","indep",0,-0.8,-0.739858121050231,"SSL",-0.851081694781269,-0.0510816947812691,200,4
"scenarioB","X_6","indep",0,0,NA,"SSL",0,0,200,4
"scenarioB","X_7","indep",0,0,NA,"SSL",0.0471986689274869,0.0471986689274869,200,4
"scenarioB","X_8","indep",0,0,NA,"SSL",0.147678701762745,0.147678701762745,200,4
"scenarioB","X_9","indep",0,0,NA,"SSL",0.00953651466976483,0.00953651466976483,200,4
"scenarioB","X_10","indep",0,0,NA,"SSL",0.0286851131502365,0.0286851131502365,200,4
"scenarioB","X_11","indep",0,0,NA,"SSL",0.0635374790548016,0.0635374790548016,200,4
"scenarioB","X_12","indep",0,0,NA,"SSL",-0.323945538812188,-0.323945538812188,200,4
"scenarioB","X_13","indep",0,0,NA,"SSL",0,0,200,4
"scenarioB","X_14","indep",0,0,NA,"SSL",0.0370605604473467,0.0370605604473467,200,4
"scenarioB","X_15","indep",0,0,NA,"SSL",0,0,200,4
"scenarioB","X_16","indep",0,0,NA,"SSL",-0.0379098841281888,-0.0379098841281888,200,4
"scenarioB","X_17","indep",0,0,NA,"SSL",-0.0174620119313384,-0.0174620119313384,200,4
"scenarioB","X_18","weak",0.3,0,NA,"SSL",-0.0829693486277532,-0.0829693486277532,200,4
"scenarioB","X_19","weak",0.3,0,NA,"SSL",0.136302012705478,0.136302012705478,200,4
"scenarioB","X_20","weak",0.3,0,NA,"SSL",0.239899288689392,0.239899288689392,200,4
"scenarioB","X_21","weak",0.3,0,NA,"SSL",-0.0650631787726188,-0.0650631787726188,200,4
